# {"t_start": 1612916405.676054, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-1838.104091178743,24,9.556316,0.0,-363.1840122578369,-644.8711220960779,-204.51073635440054,-71.46158763056168,-181.74536866075616,-47.71830094310503,-35.76091206818452,-54.46503851720296,-187.42416406360726,-46.96284858700976,0.0,0.0,0.006054482279925444,0.28560198734908787
-1212.264655410279,24,10.325963,0.0,-244.3648199550671,-420.19242040027996,-169.1110560675788,-64.21276723011742,-111.07962630105354,-31.65388113128324,-22.693416426606237,-35.19073983330097,-88.65968786949945,-25.10624019549199,0.0,0.0,0.0,0.13290146900952995
-1255.892920046726,24,11.088844,0.0,-198.77737967638626,-338.15874259135336,-176.00586569018662,-55.994185270765705,-146.75554864337246,-41.05330907090887,-20.12418673098788,-51.789061461233835,-188.971281357243,-38.26335955428806,0.0,0.0,6.126038780078191,0.5547740064685379
-1807.042939901493,24,11.856526,0.0,-341.17114702382645,-601.0859763370064,-192.0384540005735,-69.15648919720084,-202.81382311248282,-46.84909794515024,-34.77618278029513,-60.388454094601975,-210.37155442452624,-48.39176098582917,0,0,0,0
-1159.5147908546617,24,12.622558,0.0,-179.84937336265486,-317.9601656947436,-197.73844076016465,-51.54701208258002,-145.8141396089939,-29.434111966134225,-11.812417380133926,-25.812336471651992,-169.57876329210325,-29.96803023550117,0.0,0.0,0.0,0.36466304523949794
-1095.823301430834,24,13.416738,0.0,-176.98733007070135,-304.1987948200448,-135.04222771268437,-52.36083709805938,-131.39763890068264,-42.4080214694292,-19.02532372393656,-39.34652343751069,-160.06502370008315,-34.99158049770172,0.0,0.0,1.1442971525415149,0.8955988521327161
-1250.2684949778873,24,14.203554,0.0,-221.07462164613386,-360.5623941431513,-166.86642305692018,-71.89938497920481,-119.1303662491538,-50.95368539501379,-41.39158122234918,-52.347671945091676,-119.88213392066476,-46.160232420204025,0.0,0.0,1.1802103716884922,0.3449279314824835
-2150.056591899038,24,14.986424,0.0,-472.18138371962795,-838.3150991113944,-269.68424046191853,-86.38220573169346,-185.52008850666877,-36.76089565887923,-30.022171925001594,-52.88596971486878,-145.81548566569253,-32.4890514032926,0.0,0.0,4.031171092801991,1.0910683733002695
-1370.5890361506313,24,15.770047,0.0,-280.54483874739884,-481.05401157760025,-133.51793004163488,-59.7542328802989,-118.5238682468602,-45.28174007332902,-31.430044964920885,-52.78110658237789,-130.1963580271966,-37.504905009013875,0.0,0.0,0.07297930834418553,0.3499879309879718
-1353.6227273314346,24,16.569618,0.0,-264.63182900368594,-477.1415042427199,-152.21676688707524,-37.639807306552036,-156.4536795091925,-35.424372733451946,-12.296617602948466,-30.6712710668234,-162.01093737527552,-25.135941603709558,0.0,0.0,4.583083917356265,0.5997079522950939
-1239.974374810042,24,23.766037,0.0,-239.57930946979604,-436.725466588466,-139.30275485387958,-47.37620126234049,-136.49937601451148,-22.982444732646353,-13.846369455241366,-39.37354702900343,-139.52713007447835,-24.761775329678905,0.0,0.0,1.9061899209793371,0.07126088995007021
-1407.0026045907323,24,24.560512,0.0,-277.0385769026988,-484.03579434779357,-169.49945209558214,-58.74907773807546,-125.44210165309018,-34.206913255980844,-22.820291587998092,-44.69617161217279,-155.2831541577198,-35.231071239620704,0.0,0.0,0.8534018714336479,0.07861979817688582
-1243.8233531461944,24,25.333997,0.0,-203.58594303579042,-343.5190358970708,-141.7582911921483,-65.04639279342508,-152.5096686500434,-53.2647268829988,-39.888597541844696,-57.11779001354069,-139.17152046599273,-47.96138667333948,0.0,0.0,1.0180258074139394,0.12392944655777541
-1562.7197383550117,24,26.096521,0.0,-223.64463701785195,-330.2207924445226,-196.25419438430242,-105.57974932517837,-178.5013670066187,-88.72700671447485,-80.55411065572137,-96.47577982651524,-177.65927068321764,-85.10283029660854,0,0,0,0
-1575.3170179026238,24,26.870994,0.0,-260.65412984489905,-437.60626376080273,-195.96377757629259,-78.67511243945523,-170.36080887770544,-64.61518493814498,-50.659187022746636,-74.87536306602372,-179.9216091309733,-61.985581245580086,0.0,1.2469580077474591,0.0070991113915903625,0.4126098176919998
-1168.5633280939167,24,27.624378,0.0,-198.17750703340215,-328.85101498185776,-151.9626755549891,-70.5935302846979,-111.74602449383327,-54.85877726460556,-37.10859377383809,-53.79657947956733,-116.7145814222232,-44.75404380490222,0.0,0.0,0.2588681054217271,0.5795458419778994
-1561.1419350188773,24,28.412051,0.0,-258.60435742974056,-446.73361220587617,-170.87916166359418,-69.05644343017137,-228.1297350924411,-51.42685502694716,-31.858028535868666,-51.64637017378863,-204.52943741066537,-48.27793404978419,0.0,0.0,0.4077459730670385,0.39792410358510966
-1451.172821248858,24,29.197376,0.0,-225.39368205458254,-362.4257436738504,-170.9157843104974,-77.45874481598767,-180.4917157667881,-64.4753742191413,-49.88149669226387,-65.82680745252486,-190.30014129946736,-64.00333096375464,0.0,0.0,2.6272220916106725,0.6179577528589953
-1498.5487804247848,24,29.99953,0.0,-284.235839422354,-497.2584633197763,-199.29556721786423,-84.32481308693644,-123.5481364036639,-41.47256345564836,-34.02771890865464,-60.06078694598069,-133.43461291187913,-40.89027875202716,0.0,0.419644720212883,0.0,1.2243621816897925
-1668.9566514443986,24,30.777411,0.0,-330.33912556836424,-576.2887916285937,-181.70809561596442,-78.58657434715859,-149.5606558585185,-54.80843015751652,-44.41428414480684,-71.8334566617836,-132.26368653966944,-49.1535509220229,0.0,0.0,0.04339485423589173,0.3710763477315715
-1920.865113959334,24,31.993911,0.0,-443.14807567233385,-795.8074834102567,-195.9629731836444,-56.941589993347314,-159.47214123903782,-32.93819933836705,-27.725325286589715,-61.02997582896151,-118.15212930135061,-29.6872207054449,0.0,0.0,0.0,0.09212955397792115
-1479.3056143752883,24,32.786138,0.0,-238.28817498378268,-378.4767999313401,-157.2683322634464,-90.4920321043556,-161.68132590298086,-73.2399652809159,-61.75405975704275,-72.17241341996775,-176.34431521560327,-69.58819551585297,0.0,0.0,1.5238173937772883,0.06895432136991785
-1389.2369313470979,24,33.562537,0.0,-230.83909282104636,-369.22144859099393,-178.04705061887444,-86.26116299352358,-129.06287376506282,-66.71155031544869,-52.681587399259755,-62.94270897307951,-153.26332793359174,-60.20612793621707,0.0,0.0,1.8264958142579424,0.12233827407116618
-966.538781569446,24,34.352147,0.0,-154.08975531538377,-262.3763412154898,-123.50680070040272,-52.57212338341904,-105.19949947788149,-43.5449979205893,-28.522359107913537,-56.278339830831015,-104.74222842543563,-35.70633619209963,0,0,0,0
-1398.3128238647107,24,35.138314,0.0,-219.38925807189258,-370.0833308193431,-158.98476743914608,-72.47976274166714,-192.31482053080703,-52.54704619280568,-41.454226650318304,-50.82551973142758,-184.17539511580406,-56.05869657149922,0.0,0.0,0.016432510240286913,0.38179862056595487
-1003.3406481406216,24,35.902135,0.0,-205.26729760740275,-363.31451606937577,-133.08205496512988,-44.90549272601438,-80.7050316641806,-22.998613900954602,-11.881179150604959,-22.448372075639607,-100.18001236919602,-18.55807761212302,0.0,0.0,0.0,0.4368474053169068
-1106.335484650844,24,36.660706,0.0,-178.7483720215707,-308.9165853060199,-128.8755082900704,-61.76403370566756,-116.34468704277825,-45.57305728589735,-26.969099226102763,-50.011420514935544,-148.52809650134967,-40.60462475645149,0.0,0.0,0.06867894952569076,0.22971226405682746
-2103.885632836299,24,37.462171,0.0,-438.15685053793527,-791.7238477108119,-191.16209912683212,-47.135936415561034,-264.0867078034094,-32.13287065477838,-19.018520600099542,-43.47058571913178,-238.93491930807156,-38.06329495966776,0.0,0.0,1.5045933291142064,0.33040522635247943
-1372.9997786239933,24,38.249851,0.0,-221.19081104665477,-380.46624882762774,-166.3577276833309,-58.688951848225855,-182.08099468372666,-42.87442543380638,-33.20909655624795,-53.15424385124912,-188.23241094751245,-46.744867745611444,0.0,1.8310857495191633,0.0,0.38758287700611627
-1604.1883557388603,24,39.022699,0.0,-267.3224299635866,-457.29426058028326,-238.14924562946624,-73.68160430313166,-200.05521533696833,-53.0170200062911,-33.826096586849275,-52.65946751463139,-178.9904265488313,-49.1925892688211,0.0,0.0762497561334563,0.02539727611610021,1.7372443138810714
