# {"t_start": 1612921549.767799, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-3238.2701066920677,24,7.732609,0.0,-323.8270106692068,-323.8270106692068,-323.8270106692068,-323.8270106692068,-323.8270106692068,-323.8270106692068,-323.8270106692068,-323.8270106692068,-323.8270106692068,-323.8270106692068,0.0,0.0,3.947241326763521,0.0547942744136624
-3756.82144954285,24,8.482632,0.0,-375.68214495428504,-375.68214495428504,-375.68214495428504,-375.68214495428504,-375.68214495428504,-375.68214495428504,-375.68214495428504,-375.68214495428504,-375.68214495428504,-375.68214495428504,0.0,0.0,3.0286311429163115,1.859622348025943
-2617.8970057178926,24,9.254689,0.0,-261.7897005717893,-261.7897005717893,-261.7897005717893,-261.7897005717893,-261.7897005717893,-261.7897005717893,-261.7897005717893,-261.7897005717893,-261.7897005717893,-261.7897005717893,0.0,0.0,5.004813204651731,0.233821832565568
-4576.718341747212,24,10.056357,0.0,-457.67183417472125,-457.67183417472125,-457.67183417472125,-457.67183417472125,-457.67183417472125,-457.67183417472125,-457.67183417472125,-457.67183417472125,-457.67183417472125,-457.67183417472125,0.0,0.0228275176491457,0.3514713914263239,0.9504930417687253
-3416.663989646023,24,10.852389,0.0,-341.6663989646023,-341.6663989646023,-341.6663989646023,-341.6663989646023,-341.6663989646023,-341.6663989646023,-341.6663989646023,-341.6663989646023,-341.6663989646023,-341.6663989646023,0.0,0.5589969144813125,0.0,0.2158213384042351
-2958.3318202100327,24,11.633913,0.0,-295.83318202100327,-295.83318202100327,-295.83318202100327,-295.83318202100327,-295.83318202100327,-295.83318202100327,-295.83318202100327,-295.83318202100327,-295.83318202100327,-295.83318202100327,0.0,0.06479086432847159,0.0,1.0021984628470753
-3303.259430851743,24,12.423099,0.0,-330.3259430851743,-330.3259430851743,-330.3259430851743,-330.3259430851743,-330.3259430851743,-330.3259430851743,-330.3259430851743,-330.3259430851743,-330.3259430851743,-330.3259430851743,0,0,0,0
-2950.8189797945524,24,13.239496,0.0,-295.0818979794552,-295.0818979794552,-295.0818979794552,-295.0818979794552,-295.0818979794552,-295.0818979794552,-295.0818979794552,-295.0818979794552,-295.0818979794552,-295.0818979794552,0.0,0.004833320797105856,1.260554254528587,0.8491348900605206
-2829.542496921218,24,14.019131,0.0,-282.95424969212183,-282.95424969212183,-282.95424969212183,-282.95424969212183,-282.95424969212183,-282.95424969212183,-282.95424969212183,-282.95424969212183,-282.95424969212183,-282.95424969212183,0.0,0.0,0.03500368762390993,0.5084070131257434
-3342.630922715811,24,14.834057,0.0,-334.26309227158106,-334.26309227158106,-334.26309227158106,-334.26309227158106,-334.26309227158106,-334.26309227158106,-334.26309227158106,-334.26309227158106,-334.26309227158106,-334.26309227158106,0.0,0.0,2.272237036556049,1.17571396763833
-4496.798729896001,24,29.956168,0.0,-449.6798729896001,-449.6798729896001,-449.6798729896001,-449.6798729896001,-449.6798729896001,-449.6798729896001,-449.6798729896001,-449.6798729896001,-449.6798729896001,-449.6798729896001,0.0,3.507778612720296,0.0,0.4919356884919773
-3125.274003835429,24,30.762086,0.0,-312.5274003835429,-312.5274003835429,-312.5274003835429,-312.5274003835429,-312.5274003835429,-312.5274003835429,-312.5274003835429,-312.5274003835429,-312.5274003835429,-312.5274003835429,0.0,0.0,0.8401364849976177,0.08014666991052943
-4141.681292403398,24,31.577976,0.0,-414.1681292403398,-414.1681292403398,-414.1681292403398,-414.1681292403398,-414.1681292403398,-414.1681292403398,-414.1681292403398,-414.1681292403398,-414.1681292403398,-414.1681292403398,189.8487893578593,3.178862381505197,0.0,8.637830337173803
-2054.8742117451893,24,32.381006,0.0,-205.48742117451891,-205.48742117451891,-205.48742117451891,-205.48742117451891,-205.48742117451891,-205.48742117451891,-205.48742117451891,-205.48742117451891,-205.48742117451891,-205.48742117451891,0.0,0.0,0.0,0.10054355787492833
-3190.7103120611514,24,33.165729,0.0,-319.07103120611515,-319.07103120611515,-319.07103120611515,-319.07103120611515,-319.07103120611515,-319.07103120611515,-319.07103120611515,-319.07103120611515,-319.07103120611515,-319.07103120611515,0.0,0.11316758446808106,0.0022127127842006544,2.8397533944450326
-3085.9658139292196,24,33.966816,0.0,-308.59658139292196,-308.59658139292196,-308.59658139292196,-308.59658139292196,-308.59658139292196,-308.59658139292196,-308.59658139292196,-308.59658139292196,-308.59658139292196,-308.59658139292196,0.0,4.017078131710859,0.0,0.2562792495882787
