# {"t_start": 1612913927.7946815, "env_id": "Microgrid-v2"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,overloading,overvoltage,undervoltage,total_loss
-3520.0856907227208,24,7.515556,0.0,-760.0638683056355,-1325.8138722582578,-322.52296346089383,-122.83982665464367,-297.69571420455924,-100.62549325202654,-109.91608788000671,-129.7578850033715,-246.0482510045949,-104.80172869873081,0.0,0.0,3.9306494762562925,0.054610411273628215
-2318.189828251077,24,8.261865,0.0,-443.8100583955907,-740.9575222929564,-216.7545192360003,-110.56954411551678,-206.35708861313606,-99.35143187490172,-104.00842544416055,-113.73479417454107,-181.15661140842514,-101.48983269584825,0,0,0,0
-2808.9102548472233,24,9.087835,0.0,-644.2480806004377,-1137.2651372077444,-259.70899370700226,-86.86451489576672,-220.9860603805973,-65.98491633230452,-70.7109979330171,-88.14442513590593,-168.1350621828069,-66.86206647164029,0.0,0.0,6.004318858572052,0.40394284584198586
-4482.932116014791,24,9.867879,0.0,-1035.1806362937295,-1825.397052747545,-414.4723884180795,-137.53961624708978,-351.72114941286407,-103.85341204743207,-106.7925005564229,-135.20326355077324,-264.90728531461014,-107.86481142624491,0.0,0.0218497314283983,0.7964627649653491,0.9302643929814624
-1995.3634427526488,24,10.671452,0.0,-355.79860700750663,-571.5822863282162,-189.9632727045045,-112.92294535712601,-176.14972393721274,-104.18691926735865,-107.77837194765831,-115.01525960038973,-156.88759792521697,-105.078458677459,0.0,0.0,2.136269342771906,0.12457044521939119
-3024.282633843423,24,11.461329,0.0,-653.1449685395515,-1128.6018271891157,-282.6769267961773,-114.54193966603619,-246.62433105870076,-94.48176452868034,-97.40270156496736,-114.28973898362518,-196.64830863711381,-95.87012687945455,0.0,0.017061887801577358,0.9111086855397635,0.8659270066496799
-3155.249700044537,24,12.231923,0.0,-704.9152132896189,-1231.3080597547803,-292.2040661239738,-108.0851146203563,-250.9024868656192,-85.59016667896732,-89.92736614123473,-108.8232373010779,-195.67508574020906,-87.81890352869895,0,0,0,0
-2591.3505994342813,24,13.015509,0.0,-567.8673157965765,-991.2888752654213,-239.49679268466454,-88.97245884342765,-213.56907534453362,-71.29873065237153,-74.00303046086509,-88.87109987524484,-180.38186783506424,-75.60135267611173,0.0,0.001848042290237828,1.4188142823229204,0.7501744942906035
-2658.5044646434853,24,13.822341,0.0,-606.501147554793,-1068.6941825630945,-245.6853079355513,-82.99478720728705,-210.37684394144628,-63.42995540354613,-67.06977884809373,-83.38889242029337,-164.39934746339438,-65.9642213059858,0.0,0.0,1.826656868816252,0.33789358456289176
-3344.027226620152,24,14.622154,0.0,-716.8200913667893,-1235.7219807811634,-312.6809518313202,-128.49605246023322,-274.8246301185013,-106.13657253223414,-107.65987063613964,-126.52093731681293,-227.28964980422958,-107.87648977272785,0,0,0,0
-3694.1523176095297,24,29.537444,0.0,-794.6476041475067,-1367.6029630878456,-343.9802882020937,-143.8903837952298,-298.60222213762967,-119.92620803586495,-127.26275334185038,-147.69325208365765,-232.4495103696772,-118.0971324081742,0.0,0.0,2.143942288376892,0.14547935850310875
-2782.056584294638,24,30.398274,0.0,-517.3599653004356,-843.0497498563188,-265.19142523988575,-150.53942360201435,-240.71656946586046,-136.75960080750758,-143.69973360072873,-155.13613965841057,-201.12117582456767,-128.48280093890855,0.0,0.0,2.673242808025638,0.05870255700878952
-3898.460598824616,24,31.254247,0.0,-899.8444080183565,-1588.5823192999926,-360.4934247098995,-119.35086788537939,-303.4178917957123,-89.8722433554752,-91.01509442624403,-116.50349576589356,-235.54634687594694,-93.83450669171586,155.1570484995695,0.13651321964952756,0.0,7.840611378117427
-2218.722232286726,24,32.196561,0.0,-478.14710832903774,-837.4003864879592,-203.4899019600931,-75.06705984378976,-189.68062112613694,-61.139599330594436,-66.05381927243404,-77.883591931239,-164.05591458512075,-65.80422942032091,0.0,0.0,4.305971059033451,0.08183893882329245
-3093.7620908835106,24,33.088645,0.0,-641.4286233623085,-1087.7429482249415,-292.4457387155059,-136.4113796370154,-253.9961461159936,-117.02878262899416,-117.30909789477205,-132.99813357964692,-202.12640474787648,-112.27483597645555,0.0,0.07079086274186563,0.07136294712733582,2.36538800231896
-2976.060252836465,24,34.105651,0.0,-615.9023314641636,-1052.0776866123417,-277.7909776753286,-122.95619204399593,-252.0465708476913,-105.66079335828844,-107.6509478923227,-123.05878268900508,-213.59695397652405,-105.31901627680354,0.0,0.0,2.1805308919948785,0.14746958233618845
-2431.2721193326315,24,35.184138,0.0,-527.5236460256713,-917.2484081266703,-227.25479821527267,-89.07841059101017,-197.33815787712618,-72.71651544410024,-74.281146514644,-88.27744030926301,-163.73016974132005,-73.8234264875535,0.0,0.058807102596706295,0.21687151693188156,2.1808560072234187
-2365.0965845532705,24,35.982,0.0,-485.4311277737174,-834.3347048743083,-218.3903508646508,-94.96604275288274,-205.66382993078162,-81.98236320846729,-86.88879593054864,-98.28986377311814,-174.46198955131322,-84.68751589348226,0,0,0,0
-4148.55178314013,24,36.77609,0.0,-931.2529868552853,-1626.3112666483921,-385.96817528522195,-142.85028957450277,-326.4038595167683,-113.50273808584417,-118.10186579747624,-143.8384394490907,-247.2955919651488,-113.0265699623996,0,0,0,0
-2345.498891078108,24,37.598508,0.0,-465.8990222642916,-780.3720470490484,-221.65849668453546,-111.15245586372721,-197.01429931156892,-97.93654549217854,-99.05497773313955,-109.60394573314775,-164.282684025633,-98.52441692083764,0.0,0.0,5.809111071053327,0.35371408965941276
-2245.8125391121816,24,41.663674,0.0,-447.34622708912525,-754.8532579691072,-209.78487389477905,-100.99341590148741,-193.54164517102868,-88.3885635124609,-90.01235536688142,-100.1072965510914,-170.64308612896238,-90.1418175272577,0.0,0.017926742466283452,0.8984639413104839,0.9786690383306968
-1772.5503695043344,24,42.432099,0.0,-337.8468204313872,-561.7595175086393,-166.55796057943274,-86.49195060074753,-157.18300490352175,-78.58054257570086,-78.85360110758958,-85.85207606864608,-141.96365995424483,-77.4612357744248,0.0,0.05783491421563203,0.20522803329100892,1.990329723095594
-1952.310438927359,24,43.233739,0.0,-403.2815958265106,-698.7464980033704,-178.57208293942142,-72.44818288482364,-173.5658025396056,-61.767240678821004,-66.16914888746962,-75.95549265091591,-158.33305969656504,-63.471334819855684,0.0,0.0,2.08202342444579,0.43764017405783123
-4322.97684797398,24,44.014526,0.0,-1012.3464854028474,-1794.5929915614377,-396.5480639439983,-124.2481292503751,-335.98696973021384,-92.0179734111657,-93.11473266704685,-121.52812110977894,-254.84716516479847,-97.74621573231752,0.0,0.0,3.2047746731012356,0.042039025482084304
-2331.6930565682433,24,44.800497,0.0,-508.12970949807266,-881.7774695071689,-218.2376385846671,-86.36401315107345,-186.94580057603432,-71.51128065951794,-70.48188768868644,-83.53667287090013,-152.78742249342304,-71.921161538699,0.0,0.0,3.885043917552415,0.052581114177909796
-2686.617116281541,24,45.572829,0.0,-578.799459494222,-1004.2979655568099,-247.80295044582525,-97.71814205587394,-223.35317138024163,-80.61235849990443,-81.72292785196251,-96.528141142384,-190.029135146499,-85.75286470781839,0.0,0.041225756131334945,0.43154564218224023,2.27071544685739
-3170.4751118387308,24,46.363739,0.0,-735.3504264427081,-1310.1109350047866,-288.5011148703307,-88.04207926555551,-254.19070535640228,-64.81829975099332,-66.90767224554382,-87.67615720336002,-201.60312571889878,-73.2745959801517,0.0,0.0,5.748761395166249,0.42755170018030386
-2189.186619327146,24,47.137532,0.0,-459.27343312929577,-791.4162081092078,-204.08087424211885,-85.1058578961375,-185.33238553614933,-72.25128057396546,-74.17845446911488,-85.41621883963704,-159.88417451078658,-72.24773202073293,0.0,0.0,3.719758264653213,0.05422825621762833
-2734.3178723934743,24,47.92491,0.0,-632.4193198522934,-1115.6294952192065,-253.661795005526,-85.38496774215665,-211.6403145928657,-65.30663495301641,-64.37217576414841,-81.00504332996742,-159.8343587458647,-65.06376718842853,0.0,0.0,1.577310219195762,0.23279862500306475
-2552.770441193548,24,48.685463,0.0,-532.0997016592162,-919.0736752899471,-236.64798749176117,-98.6180212220574,-222.43471434354518,-83.72460379361767,-84.07890724086569,-97.29335335296504,-192.33319234568017,-86.4662844538922,0.0,0.0,5.8120519421347705,0.34129121078760744
-4839.3889218343675,24,52.519885,0.0,-1111.1281339841426,-1966.7322875400835,-441.7355983939106,-141.72515092080445,-391.31365164546537,-106.828852064525,-111.8233825271358,-142.59765540325222,-311.2774154626127,-114.22679389243515,0,0,0,0
-2864.8430690485898,24,53.330286,0.0,-574.8275751652244,-969.6636731273135,-267.743590284192,-128.67304131386618,-242.87610626443012,-112.95455286703944,-116.65661291345596,-130.91782972733262,-207.19392487299706,-113.33616251273871,0.0,0.0,7.875684305630731,1.0616493293376603
-2530.0360110523784,24,54.112849,0.0,-565.3344225018884,-1007.4072981831036,-227.4767188104014,-69.97170913318774,-220.62001136258664,-54.0956631510167,-59.454064388253734,-74.20713878036747,-189.3426466544548,-62.12633808711784,0.0,0.06190431045020772,0.06342097517627154,2.883141821037468
-2307.1020972927136,24,54.886826,0.0,-492.97449688893454,-855.1475411521722,-213.7931816270224,-86.09184019880558,-193.52090156514848,-72.7661912155391,-74.09797849996316,-85.99819896640068,-159.07305218181503,-73.6387149969126,0.0,0.0,1.3093648963210731,0.378988089901998
-2660.6146742077563,24,55.671686,0.0,-519.7343864486674,-871.3238386167369,-248.70660977830732,-125.25376578985728,-231.99788120861913,-111.8181419969736,-114.37783811789284,-126.29407787101954,-198.71842545066693,-112.38970892901531,0,0,0,0
-2106.4613209246327,24,56.441152,0.0,-430.0273289025678,-729.9932664501711,-197.24157112061545,-92.8387214214686,-175.68346405325184,-80.98674331543238,-82.16047170519619,-91.84388215273081,-146.70655150703755,-78.97932029616115,0.0,0.016360586153328915,0.9052876636205817,0.9603330827348947
-3196.949824440589,24,57.205979,0.0,-647.3577277710315,-1092.314591497093,-300.10283519860434,-143.60779151978488,-268.1445513760976,-125.75546406450756,-127.40515349785166,-143.1549260340901,-225.10743872823184,-123.99934475329648,0,0,0,0
-2444.3929264109015,24,57.988807,0.0,-494.86830105721356,-840.427951571495,-228.12298677708517,-105.96114078583983,-210.23099063304446,-93.21928686625708,-95.53232475388255,-106.92217534709793,-177.00619390151235,-92.10157471747368,0,0,0,0
-2174.9858569659445,24,58.769714,0.0,-346.09257566093316,-527.0007829264716,-208.0125673597048,-143.3606414986599,-204.37461708395426,-137.59130419010623,-139.10524545074682,-144.7113466783429,-190.6689492279782,-134.06782688904684,0.0,0.0,6.332390765523307,0.42075464648347544
-2794.9712531425985,24,59.547506,0.0,-584.8204439453274,-1008.1831685670727,-258.81190877643314,-109.73072370279792,-239.42644407660933,-93.88990736609956,-96.1457130547952,-110.3531352880128,-197.01658239503496,-96.59322597041526,0,0,0,0
-3725.3638563541044,24,63.40993,0.0,-849.4586775250501,-1495.4138081125373,-342.51823759514053,-118.33346418604943,-294.70521876304446,-91.74560897741242,-92.59221023615764,-115.56264009737983,-231.32750589889767,-93.70648496243504,0.0,0.0,5.742399780497491,0.29279615752513133
-3204.8334523259846,24,64.199723,0.0,-709.9826948760884,-1241.5460588759759,-295.16109673808495,-109.62817271531871,-261.30970241060845,-88.51617024728841,-90.0001305220095,-108.11731379076167,-210.9609338635337,-89.6111782863147,0.0,0.0,6.806100163191342,0.582782203071902
-1927.3077855889878,24,64.990237,0.0,-376.56493029135083,-637.255514439359,-177.8558219225482,-85.4486355563673,-172.5151184535591,-76.91524151924088,-78.35993683039403,-87.09629547541114,-154.67839124158863,-80.61789985916882,0,0,0,0
-2904.535148675318,24,65.765681,0.0,-599.6848205582985,-1024.661969114369,-269.27178049906667,-120.11449134853494,-245.68184766901152,-103.4950379121597,-108.249205691656,-122.63645696846334,-205.72205869269354,-105.01748022106443,0,0,0,0
-2319.713550409323,24,66.537588,0.0,-439.3251627866711,-723.4403527806838,-220.4783166554159,-121.0439381028992,-199.61154134818045,-109.02850040251388,-107.77985373794856,-116.91499634176803,-174.59544672654067,-107.49544152670174,0,0,0,0
-2773.578261988197,24,67.363896,0.0,-552.4414224331696,-927.5996697845026,-260.5627277339732,-129.63847421367635,-234.04541858728638,-115.93545621717725,-115.1673011913183,-127.80482377985417,-198.5498233629279,-111.83314468431188,0.0,0.0,3.0598556787593765,0.25148318480824505
-2226.9110472819366,24,68.136648,0.0,-395.4576802332889,-632.2892890735559,-212.89465402130057,-130.54927991882448,-195.7766950606213,-122.11597868908129,-119.15666332668202,-126.91764666256704,-176.12311235945901,-115.63004793655622,0.0,0.0,2.784505823955437,0.3327499568089701
-3271.6964573790337,24,68.92785,0.0,-712.1674831100528,-1237.6450187119317,-303.08543386992756,-119.03665257807583,-266.74388561781467,-97.34697922789921,-97.30744403631742,-115.5634063797561,-223.93783229761343,-98.86232154964496,0,0,0,0
-3092.3128793847236,24,69.836647,0.0,-677.4435367676667,-1181.6041590502596,-285.89334277563006,-110.35609479990002,-253.06999918878705,-90.48977420357926,-92.21035495263558,-109.59882128893953,-203.04111794757165,-88.60567840975426,0.0,0.0,6.982662949653147,0.6071423347415267
-2244.884051490415,24,70.904255,0.0,-480.4936826744394,-832.1694393074538,-207.73289077478046,-84.68731015730157,-187.35485701167673,-71.75444096798415,-70.41280092443273,-81.70604991854344,-155.88078949759299,-72.69179025620964,0.0,0.0,2.3795506453820763,0.20988926857554752
-1756.375766225136,24,75.306627,0.0,-323.5605594243827,-538.4453547289418,-162.1765877341984,-85.9973200534207,-163.65643949361308,-79.36838405489806,-79.59198151921498,-86.26478313339878,-158.03978401064,-79.27457207242739,0.0,0.0,1.944912054825369,0.5309761334062483
-1892.9270658341227,24,76.242668,0.0,-338.1750566523455,-548.6219607665898,-178.40631316648796,-104.72027188799011,-171.13737523817076,-97.69968830445467,-98.59560503800891,-105.4555137453179,-153.50431060885825,-96.61097042589853,0.0,0.0,2.3708210091058914,0.09800296647374489
-2558.6421090323984,24,77.401582,0.0,-520.3930092754488,-890.9824734714987,-236.9135760340854,-105.93277598278947,-224.64996757738322,-92.41954025137532,-95.88039272292811,-108.61655286410291,-187.73646374082804,-95.11735711195827,0.0,0.0,2.116799468170733,0.1414046882833992
-2146.69153750141,24,78.201804,0.0,-455.91673419574533,-787.3380358712388,-198.55957692572912,-83.6334978953832,-178.51983454961967,-71.80095261966157,-70.48399777838905,-80.82434123251423,-148.37790515717677,-71.23666127595207,0.0,0.025273703874485243,0.6588953820446368,1.011609453259411
