# {"t_start": 1665108357.7770932, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-221.09882821189922,100,2.935329,0.0,-221.09882821189922,0.0,0.0
-226.06852204296501,100,4.049009,0.0,-226.06852204296501,0.0,0.0
-235.09788469891635,100,5.159998,0.0,-235.09788469891635,0.0,0.0
-171.23057852918123,100,6.247168,0.0,-171.23057852918123,0.0,0.0
-147.9818541256543,100,7.337621,0.0,-147.9818541256543,0.0,0.0
-231.21470063997944,100,8.415145,0.0,-231.21470063997944,0.0,0.0
-551.4864539547409,100,9.508396,0.0,-551.4864539547409,0.0,0.0
-356.69137525915596,100,10.603082,0.0,-356.69137525915596,0.0,0.0
-386.84981284360225,100,11.701572,0.0,-386.84981284360225,0.0,0.0
-423.84430823712444,100,12.762178,0.0,-423.84430823712444,0.0,0.0
-382.4462139468605,100,51.338847,0.0,-382.4462139468605,0.0,0.0
-284.4376647304484,100,52.220116,0.0,-284.4376647304484,0.0,0.0
-403.3750276433483,100,53.234736,0.0,-403.3750276433483,0.0,0.0
-271.516555657162,100,54.325743,0.0,-271.516555657162,0.0,0.0
-268.4212429038383,100,55.420757,0.0,-268.4212429038383,0.0,0.0
-587.3111475549997,100,56.518739,0.0,-587.3111475549997,0.0,0.0
-198.96702556250273,100,57.607465,0.0,-198.96702556250273,0.0,0.0
-293.36042094637105,100,58.68811,0.0,-293.36042094637105,0.0,0.0
-579.2660702204281,100,59.784671,0.0,-579.2660702204281,0.0,0.0
-248.31008706637306,100,60.878846,0.0,-248.31008706637306,0.0,0.0
-668.9011440926103,100,90.384721,0.0,-668.9011440926103,0.0,0.0
-333.0892707585769,100,91.480155,0.0,-333.0892707585769,0.0,0.0
-632.1671110590571,100,92.57053,0.0,-632.1671110590571,0.0,0.0
-178.50538244832367,100,93.664895,0.0,-178.50538244832367,0.0,0.0
-288.49004401905313,100,94.760857,0.0,-288.49004401905313,0.0,0.0
-143.6171456642117,100,95.858705,0.0,-143.6171456642117,0.0,0.0
-200.89910710482093,100,96.947933,0.0,-200.89910710482093,0.0,0.0
-204.44605848467992,100,98.045433,0.0,-204.44605848467992,0.0,0.0
-268.83493307323954,100,99.14888,0.0,-268.83493307323954,0.0,0.0
-212.18864256655885,100,100.234651,0.0,-212.18864256655885,0.0,0.0
-313.07373263546737,100,129.753576,0.0,-309.07373263546737,-2.0,-2.0
-244.93979886552012,100,130.849699,0.0,-244.93979886552012,0.0,0.0
-316.2203143126973,100,131.946679,0.0,-316.2203143126973,0.0,0.0
-264.0171771504683,100,133.022894,0.0,-264.0171771504683,0.0,0.0
-250.39036038541548,100,134.128528,0.0,-250.39036038541548,0.0,0.0
-148.3261704296954,100,135.225746,0.0,-148.3261704296954,0.0,0.0
-273.045280625267,100,136.327497,0.0,-273.045280625267,0.0,0.0
-358.8143104456145,100,137.43058,0.0,-358.8143104456145,0.0,0.0
-128.65359915152894,100,138.523316,0.0,-128.65359915152894,0.0,0.0
-205.69209178237654,100,139.621567,0.0,-205.69209178237654,0.0,0.0
-139.53783350488777,100,169.092892,0.0,-139.53783350488777,0.0,0.0
-163.3936864473458,100,170.196956,0.0,-163.3936864473458,0.0,0.0
-222.2932253162784,100,171.293566,0.0,-222.2932253162784,0.0,0.0
-273.81513687666694,100,172.399222,0.0,-273.81513687666694,0.0,0.0
-221.18497006528818,100,173.494736,0.0,-221.18497006528818,0.0,0.0
-194.9652634482172,100,174.598446,0.0,-194.9652634482172,0.0,0.0
-203.25843945544347,100,175.699983,0.0,-203.25843945544347,0.0,0.0
-242.0057513420366,100,176.806126,0.0,-242.0057513420366,0.0,0.0
-294.54678710903926,100,177.912426,0.0,-294.54678710903926,0.0,0.0
-255.75374683707253,100,179.017195,0.0,-255.75374683707253,0.0,0.0
-315.4314471854742,100,208.580714,0.0,-315.4314471854742,0.0,0.0
-234.54424175457743,100,209.692091,0.0,-234.54424175457743,0.0,0.0
-239.84544195501354,100,210.794845,0.0,-239.84544195501354,0.0,0.0
-106.65616687898624,100,211.888704,0.0,-106.65616687898624,0.0,0.0
-160.27861985834554,100,212.982466,0.0,-160.27861985834554,0.0,0.0
-134.73333787649656,100,214.079359,0.0,-134.73333787649656,0.0,0.0
-239.07863788091436,100,215.172437,0.0,-239.07863788091436,0.0,0.0
-191.77995001650558,100,216.270752,0.0,-191.77995001650558,0.0,0.0
-183.51286775617464,100,217.351075,0.0,-183.51286775617464,0.0,0.0
-199.6407053179052,100,218.443168,0.0,-199.6407053179052,0.0,0.0
-209.1348441099302,100,247.989657,0.0,-209.1348441099302,0.0,0.0
-166.2144803347016,100,249.089165,0.0,-166.2144803347016,0.0,0.0
-235.77830618743977,100,250.203979,0.0,-235.77830618743977,0.0,0.0
-162.99947723967065,100,251.306995,0.0,-158.99947723967065,-2.0,-2.0
-163.46767628904507,100,252.405005,0.0,-163.46767628904507,0.0,0.0
-141.76536891732414,100,253.489243,0.0,-141.76536891732414,0.0,0.0
-227.8698810239242,100,254.585232,0.0,-227.8698810239242,0.0,0.0
-238.97196792449643,100,255.68628,0.0,-236.97196792449643,-2.0,0.0
-232.8587997413599,100,256.790477,0.0,-232.8587997413599,0.0,0.0
-242.95316522357925,100,257.885449,0.0,-242.95316522357925,0.0,0.0
-127.736408395297,100,287.491874,0.0,-127.736408395297,0.0,0.0
-154.75814437735178,100,288.594894,0.0,-154.75814437735178,0.0,0.0
-215.8853378726658,100,289.684124,0.0,-214.8853378726658,-1.0,0.0
-170.31320396518984,100,290.774852,0.0,-170.31320396518984,0.0,0.0
-205.30508683360554,100,291.877102,0.0,-205.30508683360554,0.0,0.0
-191.88301098628756,100,292.972625,0.0,-191.88301098628756,0.0,0.0
-193.05141426558043,100,294.066313,0.0,-193.05141426558043,0.0,0.0
-182.7525065529597,100,295.174252,0.0,-182.7525065529597,0.0,0.0
-232.32193195650657,100,296.276698,0.0,-232.32193195650657,0.0,0.0
-256.3841153431659,100,297.361304,0.0,-256.3841153431659,0.0,0.0
-167.5529891984987,100,326.970577,0.0,-167.5529891984987,0.0,0.0
-236.3720835785187,100,328.067692,0.0,-236.3720835785187,0.0,0.0
-199.7094690148659,100,329.172202,0.0,-199.7094690148659,0.0,0.0
-158.40613437392616,100,330.270444,0.0,-158.40613437392616,0.0,0.0
-140.4033264495206,100,331.368071,0.0,-140.4033264495206,0.0,0.0
-283.04005161176923,100,332.457481,0.0,-279.04005161176923,-2.0,-2.0
-223.34876995896587,100,333.568441,0.0,-223.34876995896587,0.0,0.0
-244.15183985539784,100,334.6758,0.0,-244.15183985539784,0.0,0.0
-264.8336431401355,100,335.764654,0.0,-264.8336431401355,0.0,0.0
-202.57856358671776,100,336.874918,0.0,-202.57856358671776,0.0,0.0
-261.28772146898655,100,366.266746,0.0,-260.28772146898655,-1.0,0.0
-209.96784877673898,100,367.371043,0.0,-209.96784877673898,0.0,0.0
-118.84886087204424,100,368.467585,0.0,-116.84886087204424,0.0,-2.0
-155.4222840315947,100,369.55716,0.0,-155.4222840315947,0.0,0.0
-180.94681698659048,100,370.657497,0.0,-180.94681698659048,0.0,0.0
-175.86025856855667,100,371.759021,0.0,-175.86025856855667,0.0,0.0
-174.5186298079672,100,372.864875,0.0,-174.5186298079672,0.0,0.0
-257.53795782621245,100,373.973649,0.0,-255.53795782621245,0.0,-2.0
-191.7789032305128,100,375.082628,0.0,-191.7789032305128,0.0,0.0
-181.04036123702016,100,376.186843,0.0,-181.04036123702016,0.0,0.0
-222.32979453021275,100,405.596074,0.0,-222.32979453021275,0.0,0.0
-160.58438086784793,100,406.691191,0.0,-160.58438086784793,0.0,0.0
-201.68621628899206,100,407.791417,0.0,-199.68621628899206,-1.0,-1.0
-188.92824768978457,100,408.90947,0.0,-188.92824768978457,0.0,0.0
-238.76394234832216,100,410.011855,0.0,-238.76394234832216,0.0,0.0
-168.35414674008,100,411.121413,0.0,-168.35414674008,0.0,0.0
-188.70033248337933,100,412.219918,0.0,-188.70033248337933,0.0,0.0
-222.63856221876867,100,413.329713,0.0,-222.63856221876867,0.0,0.0
-142.5360030931586,100,414.435323,0.0,-142.5360030931586,0.0,0.0
-213.17902322923365,100,415.535594,0.0,-201.17902322923365,-6.0,-6.0
-219.58553623080363,100,445.728629,0.0,-217.58553623080363,0.0,-2.0
-156.39745029331252,100,446.82867,0.0,-156.39745029331252,0.0,0.0
-235.0982423142661,100,447.93101,0.0,-235.0982423142661,0.0,0.0
-187.61466654261906,100,449.031471,0.0,-187.61466654261906,0.0,0.0
-137.24948123420506,100,450.142364,0.0,-137.24948123420506,0.0,0.0
-208.9204694955842,100,451.234381,0.0,-208.9204694955842,0.0,0.0
-131.15085459225486,100,452.331817,0.0,-131.15085459225486,0.0,0.0
-225.40425168643407,100,453.433661,0.0,-225.40425168643407,0.0,0.0
-176.4607124954734,100,454.541956,0.0,-176.4607124954734,0.0,0.0
-278.42846570885274,100,455.646189,0.0,-278.42846570885274,0.0,0.0
-184.88976911763498,100,485.293487,0.0,-184.88976911763498,0.0,0.0
-213.36555205630088,100,486.407552,0.0,-209.36555205630088,-2.0,-2.0
-184.49063698149342,100,487.515124,0.0,-182.49063698149342,0.0,-2.0
-227.1290225780797,100,488.622684,0.0,-227.1290225780797,0.0,0.0
-183.35000062823545,100,489.721034,0.0,-182.35000062823545,-1.0,0.0
-168.72140673138816,100,490.825447,0.0,-168.72140673138816,0.0,0.0
-168.95355786819238,100,491.92813,0.0,-166.95355786819238,-2.0,0.0
-169.97029804502273,100,493.034403,0.0,-169.97029804502273,0.0,0.0
-221.45572326209737,100,494.126585,0.0,-221.45572326209737,0.0,0.0
-176.19836445632708,100,495.226903,0.0,-175.19836445632708,-1.0,0.0
-135.7652152951157,100,524.914436,0.0,-135.7652152951157,0.0,0.0
-186.87678944836009,100,526.012562,0.0,-186.87678944836009,0.0,0.0
-193.47708438429268,100,527.121967,0.0,-193.47708438429268,0.0,0.0
-158.29893017194456,100,528.225478,0.0,-157.29893017194456,-1.0,0.0
-168.4405967737734,100,529.339132,0.0,-168.4405967737734,0.0,0.0
-122.98332876198656,100,530.434456,0.0,-122.98332876198656,0.0,0.0
-208.35488518626784,100,531.539852,0.0,-208.35488518626784,0.0,0.0
-128.10011492892926,100,532.644634,0.0,-128.10011492892926,0.0,0.0
-161.82869075199838,100,533.73481,0.0,-161.82869075199838,0.0,0.0
-170.5085307868691,100,534.834387,0.0,-170.5085307868691,0.0,0.0
-187.19845631356105,100,564.576943,0.0,-187.19845631356105,0.0,0.0
-251.30531295194945,100,565.6905,0.0,-248.30531295194945,-3.0,0.0
-144.5432908383977,100,566.798076,0.0,-144.5432908383977,0.0,0.0
-120.10515631209917,100,567.893327,0.0,-120.10515631209917,0.0,0.0
-138.8773211138514,100,569.005116,0.0,-138.8773211138514,0.0,0.0
-118.36865882189414,100,570.108736,0.0,-118.36865882189414,0.0,0.0
-115.63561336695305,100,571.203994,0.0,-115.63561336695305,0.0,0.0
-131.28361849293373,100,572.323481,0.0,-127.28361849293373,-2.0,-2.0
-228.16869012257456,100,573.412735,0.0,-222.16869012257456,-3.0,-3.0
-194.96726763644432,100,574.520118,0.0,-194.96726763644432,0.0,0.0
-174.78798001054656,100,604.216948,0.0,-174.78798001054656,0.0,0.0
-173.2242958888228,100,605.3147,0.0,-173.2242958888228,0.0,0.0
-145.9946992036384,100,606.410191,0.0,-145.9946992036384,0.0,0.0
-256.340358592686,100,607.503255,0.0,-248.34035859268602,-4.0,-4.0
-109.05060037474537,100,608.612874,0.0,-109.05060037474537,0.0,0.0
-173.53910016375193,100,609.716945,0.0,-173.53910016375193,0.0,0.0
-201.2344942963153,100,610.814813,0.0,-201.2344942963153,0.0,0.0
-250.67518980216468,100,611.914513,0.0,-250.67518980216468,0.0,0.0
-204.30454744006317,100,613.002392,0.0,-204.30454744006317,0.0,0.0
-230.07907441552115,100,614.118424,0.0,-230.07907441552115,0.0,0.0
-139.38430857972415,100,643.540516,0.0,-139.38430857972415,0.0,0.0
-191.7368120723904,100,644.647689,0.0,-189.7368120723904,-2.0,0.0
-116.51965428806216,100,645.751792,0.0,-116.51965428806216,0.0,0.0
-206.86464689851118,100,646.851776,0.0,-205.86464689851118,-1.0,0.0
-112.76631853384123,100,647.958052,0.0,-112.76631853384123,0.0,0.0
-136.0410558097961,100,649.061731,0.0,-136.0410558097961,0.0,0.0
-152.70663718043158,100,650.168411,0.0,-152.70663718043158,0.0,0.0
-155.79258525250634,100,651.270257,0.0,-155.79258525250634,0.0,0.0
-201.22450298913586,100,652.374577,0.0,-201.22450298913586,0.0,0.0
-168.05689266400285,100,653.468371,0.0,-168.05689266400285,0.0,0.0
-123.17771211714589,100,683.36633,0.0,-123.17771211714589,0.0,0.0
-152.45460486812414,100,684.469148,0.0,-152.45460486812414,0.0,0.0
-148.3630640327009,100,685.579743,0.0,-148.3630640327009,0.0,0.0
-128.79861427734355,100,686.690334,0.0,-124.79861427734355,-2.0,-2.0
-125.58419805894998,100,687.790874,0.0,-125.58419805894998,0.0,0.0
-154.39719784116912,100,688.897741,0.0,-154.39719784116912,0.0,0.0
-170.9182527003973,100,689.997416,0.0,-170.9182527003973,0.0,0.0
-124.10590657644335,100,691.107898,0.0,-124.10590657644335,0.0,0.0
-172.29590978810842,100,692.203654,0.0,-172.29590978810842,0.0,0.0
-141.60807104345878,100,693.300653,0.0,-141.60807104345878,0.0,0.0
-135.31807102537587,100,722.908832,0.0,-135.31807102537587,0.0,0.0
-221.59419926631864,100,724.027567,0.0,-221.59419926631864,0.0,0.0
-178.25805240964638,100,725.134977,0.0,-178.25805240964638,0.0,0.0
